Dateï»¿,Active Calories,Resting Calories,Total Calories,Actual Steps,Stress
1-Jul,73,4068,4141,3388,16
8-Jul,865,14238,15103,26856,21
15-Jul,1615,14238,15853,24289,23
22-Jul,1262,14238,15500,26872,26
29-Jul,544,14238,14782,18494,23
5-Aug,124,14238,14362,29359,26
12-Aug,11,14238,14249,31799,22
19-Aug,785,14238,15023,28194,23
26-Aug,1398,14238,15636,22024,24
2-Sep,1151,14238,15389,24480,25
9-Sep,1238,14238,15476,26134,23
16-Sep,833,14238,15071,21782,24
23-Sep,1219,14238,15457,28762,22
30-Sep,1362,14238,15600,34791,23
7-Oct,1623,14238,15861,29446,26
14-Oct,1203,14238,15441,29852,26
21-Oct,1889,14238,16127,43408,24
28-Oct,1915,14238,16153,41607,23
4-Nov,1581,14293,15874,29107,22
11-Nov,1462,13528,14990,26922,23
